,Date,Open,High,Low,Close,Volume,OpenInt,Product
8364,2010-06-28,17.0,17.0,17.0,17.0,0,1,Electric Car
8365,2010-06-29,19.0,25.0,17.54,23.89,18783276,1,Electric Car
8366,2010-06-30,25.79,30.42,23.3,23.83,17194394,1,Electric Car
8367,2010-07-01,25.0,25.92,20.27,21.96,8229863,1,Merchandising
8368,2010-07-02,23.0,23.1,18.71,19.2,5141807,1,House-Powering Battery
8369,2010-07-06,20.0,20.0,15.83,16.11,6879296,0,Merchandising
8370,2010-07-07,16.4,16.63,14.98,15.8,6924914,0,Electric Car
8371,2010-07-08,16.14,17.52,15.57,17.46,7719539,1,Electric Car
8372,2010-07-09,17.58,17.9,16.55,17.4,4058606,1,House-Powering Battery
8373,2010-07-12,17.95,18.07,17.0,17.05,2203570,1,House-Powering Battery
8374,2010-07-13,17.39,18.64,16.9,18.14,2680060,0,House-Powering Battery
8375,2010-07-14,17.94,20.15,17.76,19.84,4196110,1,House-Powering Battery
8376,2010-07-15,19.94,21.5,19.0,19.89,3745297,1,Electric Car
8377,2010-07-16,20.7,21.3,20.05,20.64,2621210,1,House-Powering Battery
8378,2010-07-19,21.37,22.25,20.92,21.91,2486489,1,Electric Car
8379,2010-07-20,21.85,21.85,20.05,20.3,1825231,1,House-Powering Battery
8380,2010-07-21,20.66,20.9,19.5,20.22,1253442,1,House-Powering Battery
8381,2010-07-22,20.5,21.25,20.37,21.0,962345,1,Electric Car
8382,2010-07-23,21.19,21.56,21.06,21.29,654049,1,Merchandising
8383,2010-07-26,21.5,21.5,20.3,20.95,922453,0,Merchandising
8384,2010-07-27,20.91,21.18,20.26,20.55,619675,1,Merchandising
8385,2010-07-28,20.55,20.9,20.51,20.72,467183,0,Merchandising
8386,2010-07-29,20.77,20.88,20.0,20.35,615910,0,Electric Car
8387,2010-07-30,20.2,20.44,19.55,19.94,426830,1,House-Powering Battery
8388,2010-08-02,20.5,20.97,20.33,20.92,719145,0,Electric Car
8389,2010-08-03,21.0,21.95,20.82,21.95,1231023,1,Merchandising
8390,2010-08-04,21.95,22.18,20.85,21.26,920756,1,Electric Car
8391,2010-08-05,21.54,21.55,20.05,20.45,796380,0,House-Powering Battery
8392,2010-08-06,20.1,20.16,19.52,19.59,742138,0,Electric Car
8393,2010-08-09,19.9,19.98,19.45,19.6,812656,0,Merchandising
8394,2010-08-10,19.65,19.65,18.82,19.03,1281286,0,House-Powering Battery
8395,2010-08-11,18.69,18.88,17.85,17.9,797650,1,Merchandising
8396,2010-08-12,17.8,17.9,17.39,17.6,691281,1,Merchandising
8397,2010-08-13,18.18,18.45,17.66,18.32,634513,1,Merchandising
8398,2010-08-16,18.45,18.8,18.26,18.78,486211,1,House-Powering Battery
8399,2010-08-17,18.96,19.4,18.78,19.15,447881,0,House-Powering Battery
8400,2010-08-18,19.59,19.59,18.6,18.77,601332,0,Electric Car
8401,2010-08-19,18.54,19.25,18.33,18.79,579082,1,Merchandising
8402,2010-08-20,18.65,19.11,18.51,19.1,297499,0,Electric Car
8403,2010-08-23,19.09,20.39,19.0,20.13,1088029,0,Merchandising
8404,2010-08-24,19.25,19.71,18.95,19.2,673074,0,Electric Car
8405,2010-08-25,19.16,19.98,18.56,19.9,503289,1,House-Powering Battery
8406,2010-08-26,19.89,20.27,19.6,19.75,433736,0,Merchandising
8407,2010-08-27,19.75,19.87,19.5,19.7,378145,1,Electric Car
8408,2010-08-30,19.7,20.19,19.61,19.87,732731,1,Electric Car
8409,2010-08-31,19.66,19.79,19.33,19.48,201012,1,Electric Car
8410,2010-09-01,19.62,20.69,19.6,20.45,494885,0,House-Powering Battery
8411,2010-09-02,20.37,21.24,20.31,21.06,487060,1,Merchandising
8412,2010-09-03,20.87,21.3,20.66,21.05,425956,1,Electric Car
8413,2010-09-07,20.61,21.0,20.5,20.54,243335,1,Merchandising
8414,2010-09-08,20.66,20.95,20.6,20.9,288382,1,Merchandising
8415,2010-09-09,21.0,21.05,20.69,20.71,376197,0,House-Powering Battery
8416,2010-09-10,20.75,20.93,19.76,20.17,385689,0,Electric Car
8417,2010-09-13,20.89,20.9,20.5,20.72,360703,1,Merchandising
8418,2010-09-14,20.54,21.6,20.53,21.12,654629,1,Electric Car
8419,2010-09-15,20.98,22.0,20.79,21.98,684558,1,House-Powering Battery
8420,2010-09-16,22.15,23.16,20.84,20.94,2685480,1,Merchandising
8421,2010-09-17,21.02,21.32,19.8,20.23,1174860,1,Merchandising
8422,2010-09-20,20.67,21.35,20.16,21.05,947475,1,Electric Car
8423,2010-09-21,20.89,21.55,20.67,20.77,796000,1,House-Powering Battery
8424,2010-09-22,20.87,20.95,19.8,19.87,962816,0,House-Powering Battery
8425,2010-09-23,19.89,20.14,19.5,19.56,668076,1,Electric Car
8426,2010-09-24,19.95,20.19,19.65,20.1,573187,0,Electric Car
8427,2010-09-27,20.4,20.81,20.05,20.53,418597,1,Electric Car
8428,2010-09-28,21.04,21.49,20.76,21.4,1214465,0,House-Powering Battery
8429,2010-09-29,21.19,22.03,21.13,21.98,1969457,1,House-Powering Battery
8430,2010-09-30,22.0,22.15,20.19,20.41,2196625,0,Electric Car
8431,2010-10-01,20.69,20.75,20.31,20.6,522518,1,Merchandising
8432,2010-10-04,20.43,21.17,20.3,20.99,643599,0,House-Powering Battery
8433,2010-10-05,21.15,21.28,21.01,21.12,331936,1,Merchandising
8434,2010-10-06,21.06,21.26,20.32,20.46,313357,0,House-Powering Battery
8435,2010-10-07,20.57,20.64,20.34,20.43,140920,1,Electric Car
8436,2010-10-08,20.43,20.79,20.39,20.43,266219,0,House-Powering Battery
8437,2010-10-11,20.44,20.7,20.07,20.24,171194,1,Electric Car
8438,2010-10-12,20.2,20.28,20.03,20.24,243912,0,Merchandising
